GRMZM5G811749	Zm00001ca000001
GRMZM5G889299	Zm00001ca000067
GRMZM5G804358	Zm00001ca000068
GRMZM5G834908	Zm00001ca000069
GRMZM5G897626	Zm00001ca000070
GRMZM5G800457	Zm00001ca000071
GRMZM5G858045	Zm00001ca000072
GRMZM5G813949	Zm00001ca000073
GRMZM5G819258	Zm00001ca000074
GRMZM5G839924	Zm00001ca000075
GRMZM5G871174	Zm00001ca000076
GRMZM5G898772	Zm00001ca000077
GRMZM5G863003	Zm00001ca000078
GRMZM5G897615	Zm00001ca000079
GRMZM5G845024	Zm00001ca000080
GRMZM5G884912	Zm00001ca000081
GRMZM5G890747	Zm00001ca000082
GRMZM5G866979	Zm00001ca000083
GRMZM5G875789	Zm00001ca000084
GRMZM5G844605	Zm00001ca000085
GRMZM5G861791	Zm00001ca000086
GRMZM5G871099	Zm00001ca000087
GRMZM5G817985	Zm00001ca000088
GRMZM5G844657	Zm00001ca000089
GRMZM5G814594	Zm00001ca000090
GRMZM5G822401	Zm00001ca000091
GRMZM5G837015	Zm00001ca000092
GRMZM5G825253	Zm00001ca000093
GRMZM5G834128	Zm00001ca000094
GRMZM5G834207	Zm00001ca000095
GRMZM5G841635	Zm00001ca000096
GRMZM5G898647	Zm00001ca000097
GRMZM5G850100	Zm00001ca000098
GRMZM5G845230	Zm00001ca000099
GRMZM5G872899	Zm00001ca000100
GRMZM5G873916	Zm00001ca000101
GRMZM5G882520	Zm00001ca000102
GRMZM5G816772	Zm00001ca000103
GRMZM5G824660	Zm00001ca000104
GRMZM5G834298	Zm00001ca000105
GRMZM5G856027	Zm00001ca000106
GRMZM5G866990	Zm00001ca000107
GRMZM5G827309	Zm00001ca000108
GRMZM5G833299	Zm00001ca000109
GRMZM5G834666	Zm00001ca000110
GRMZM5G851769	Zm00001ca000111
GRMZM5G876913	Zm00001ca000112
GRMZM5G881135	Zm00001ca000113
GRMZM5G889036	Zm00001ca000114
GRMZM5G867512	Zm00001ca000115
GRMZM5G870438	Zm00001ca000116
GRMZM5G889790	Zm00001ca000117
GRMZM5G828883	Zm00001ca000118
GRMZM5G846068	Zm00001ca000119
GRMZM5G859440	Zm00001ca000120
GRMZM5G875046	Zm00001ca000121
GRMZM5G881661	Zm00001ca000122
GRMZM5G883882	Zm00001ca000123
GRMZM5G826322	Zm00001ca000124
GRMZM5G834995	Zm00001ca000125
GRMZM5G857320	Zm00001ca000126
GRMZM5G851921	Zm00001ca000127
GRMZM5G884707	Zm00001ca000128
GRMZM5G887290	Zm00001ca000129
GRMZM5G800101	Zm00001ca000130
GRMZM5G826672	Zm00001ca000131
GRMZM5G842963	Zm00001ca000132
GRMZM5G827951	Zm00001ca000133
GRMZM5G848448	Zm00001ca000134
GRMZM5G861353	Zm00001ca000135
GRMZM5G889905	Zm00001ca000136
GRMZM5G899892	Zm00001ca000137
GRMZM5G807592	Zm00001ca000138
GRMZM5G844331	Zm00001ca000139
GRMZM5G838554	Zm00001ca000140
GRMZM5G846968	Zm00001ca000141
GRMZM5G874394	Zm00001ca000142
GRMZM5G874740	Zm00001ca000143
GRMZM5G801746	Zm00001ca000144
GRMZM5G861212	Zm00001ca000145
GRMZM5G878344	Zm00001ca000146
GRMZM5G819109	Zm00001ca000147
GRMZM5G821687	Zm00001ca000148
GRMZM5G822170	Zm00001ca000149
GRMZM5G845496	Zm00001ca000150
GRMZM5G805421	Zm00001ca000151
GRMZM5G845792	Zm00001ca000152
GRMZM5G890451	Zm00001ca000153
GRMZM5G805940	Zm00001ca000154
GRMZM5G884538	Zm00001ca000155
GRMZM5G838963	Zm00001ca000156
GRMZM5G865196	Zm00001ca000157
GRMZM5G822734	Zm00001ca000158
GRMZM5G851130	Zm00001ca000159
GRMZM5G856189	Zm00001ca000160
GRMZM5G891801	Zm00001ca000161
GRMZM5G821527	Zm00001ca000162
GRMZM5G847102	Zm00001ca000163
GRMZM5G899452	Zm00001ca000164
GRMZM5G804671	Zm00001ca000165
GRMZM5G844030	Zm00001ca000166
GRMZM5G887911	Zm00001ca000167
GRMZM5G859187	Zm00001ca000168
GRMZM5G834282	Zm00001ca000169
GRMZM5G862955	Zm00001ca000170
GRMZM5G893089	Zm00001ca000171
GRMZM5G836544	Zm00001ca000172
GRMZM5G872234	Zm00001ca000173
GRMZM5G897755	Zm00001ca000174
GRMZM2G040843	Zm00001ca000175
AC195240.4_FG002	Zm00001ca000176
GRMZM2G109674	Zm00001ca000177
GRMZM2G179143	Zm00001ca000178
GRMZM2G135536	Zm00001ca000179
GRMZM2G066165	Zm00001ca000180
GRMZM2G066049	Zm00001ca000181
GRMZM2G066142	Zm00001ca000182
GRMZM2G057576	Zm00001ca000183
GRMZM2G057525	Zm00001ca000184
GRMZM2G057557	Zm00001ca000185
GRMZM2G057441	Zm00001ca000186
GRMZM2G147266	Zm00001ca000187
GRMZM2G073840	Zm00001ca000188
GRMZM2G173724	Zm00001ca000189
GRMZM2G173742	Zm00001ca000190
GRMZM2G078264	Zm00001ca000191
GRMZM2G048067	Zm00001ca000192
GRMZM2G337929	Zm00001ca000193
GRMZM2G089565	Zm00001ca000194
GRMZM2G098603	Zm00001ca000195
GRMZM2G098596	Zm00001ca000196
GRMZM2G176546	Zm00001ca000197
GRMZM2G430745	Zm00001ca000198
GRMZM2G430780	Zm00001ca000199
GRMZM2G129907	Zm00001ca000200
GRMZM2G129954	Zm00001ca000201
GRMZM2G130062	Zm00001ca000202
GRMZM5G812168	Zm00001ca000203
GRMZM2G124293	Zm00001ca000204
GRMZM2G022606	Zm00001ca000205
GRMZM2G317287	Zm00001ca000206
AC198366.3_FG004	Zm00001ca000207
GRMZM2G012062	Zm00001ca000208
GRMZM2G104620	Zm00001ca000209
GRMZM2G104638	Zm00001ca000210
GRMZM2G104655	Zm00001ca000211
GRMZM2G104710	Zm00001ca000212
GRMZM2G104730	Zm00001ca000213
GRMZM2G043119	Zm00001ca000214
GRMZM2G043150	Zm00001ca000215
GRMZM2G400999	Zm00001ca000216
GRMZM2G178734	Zm00001ca000217
GRMZM5G886363	Zm00001ca000218
GRMZM2G180150	Zm00001ca000219
GRMZM2G180155	Zm00001ca000220
GRMZM2G180166	Zm00001ca000221
GRMZM2G180205	Zm00001ca000222
GRMZM2G180244	Zm00001ca000223
GRMZM2G180249	Zm00001ca000224
GRMZM2G180251	Zm00001ca000225
GRMZM2G180254	Zm00001ca000226
GRMZM2G180258	Zm00001ca000227
GRMZM2G180262	Zm00001ca000228
GRMZM2G099005	Zm00001ca000229
GRMZM2G099067	Zm00001ca000230
GRMZM2G099074	Zm00001ca000231
GRMZM2G138659	Zm00001ca000232
GRMZM2G437314	Zm00001ca000233
GRMZM2G181546	Zm00001ca000234
GRMZM2G151903	Zm00001ca000235
GRMZM2G151977	Zm00001ca000236
GRMZM2G152007	Zm00001ca000237
GRMZM2G152016	Zm00001ca000238
AC197146.3_FG002	Zm00001ca000239
GRMZM5G832378	Zm00001ca000240
AC197146.3_FG001	Zm00001ca000241
GRMZM2G172487	Zm00001ca000242
GRMZM2G172575	Zm00001ca000243
GRMZM2G172586	Zm00001ca000244
GRMZM2G470974	Zm00001ca000245
GRMZM2G172596	Zm00001ca000246
GRMZM2G127393	Zm00001ca000247
GRMZM2G127416	Zm00001ca000248
GRMZM2G427014	Zm00001ca000249
GRMZM2G127379	Zm00001ca000250
GRMZM2G320305	Zm00001ca000251
GRMZM2G431714	Zm00001ca000252
GRMZM5G822449	Zm00001ca000253
GRMZM2G036918	Zm00001ca000254
GRMZM2G037064	Zm00001ca000255
AC234175.1_FG010	Zm00001ca000256
GRMZM5G819919	Zm00001ca000257
GRMZM2G004412	Zm00001ca000258
GRMZM2G088320	Zm00001ca000259
GRMZM2G536120	Zm00001ca000260
AC198744.3_FG004	Zm00001ca000261
GRMZM2G068465	Zm00001ca000262
GRMZM2G068745	Zm00001ca000263
GRMZM2G356817	Zm00001ca000264
GRMZM2G356839	Zm00001ca000265
GRMZM2G058481	Zm00001ca000266
GRMZM2G058531	Zm00001ca000267
GRMZM2G058595	Zm00001ca000268
GRMZM5G862857	Zm00001ca000269
GRMZM5G873586	Zm00001ca000270
AC152495.1_FG002	Zm00001ca000271
AC152495.1_FG003	Zm00001ca000272
AC152495.1_FG010	Zm00001ca000273
AC152495.1_FG011	Zm00001ca000274
AC152495.1_FG012	Zm00001ca000275
AC152495.1_FG013	Zm00001ca000276
AC152495.1_FG015	Zm00001ca000277
AC152495.1_FG017	Zm00001ca000278
GRMZM5G879178	Zm00001ca000279
GRMZM2G069382	Zm00001ca000280
GRMZM2G083246	Zm00001ca000281
GRMZM2G083258	Zm00001ca000282
GRMZM2G702283	Zm00001ca000283
GRMZM2G143769	Zm00001ca000284
GRMZM2G443939	Zm00001ca000285
GRMZM5G802403	Zm00001ca000286
GRMZM2G097078	Zm00001ca000287
GRMZM2G349565	Zm00001ca000288
GRMZM2G003625	Zm00001ca000289
GRMZM2G061742	Zm00001ca000290
GRMZM2G005134	Zm00001ca000291
GRMZM2G005207	Zm00001ca000292
GRMZM2G304965	Zm00001ca000293
GRMZM2G473138	Zm00001ca000294
GRMZM2G441029	Zm00001ca000295
GRMZM2G441031	Zm00001ca000296
GRMZM2G088313	Zm00001ca000297
GRMZM2G129775	Zm00001ca000298
GRMZM2G387731	Zm00001ca000299
GRMZM2G129804	Zm00001ca000300
GRMZM2G467576	Zm00001ca000301
GRMZM2G101928	Zm00001ca000302
GRMZM2G101958	Zm00001ca000303
GRMZM2G093997	Zm00001ca000304
GRMZM5G886547	Zm00001ca000305
GRMZM5G898755	Zm00001ca000306
GRMZM2G387760	Zm00001ca000307
GRMZM2G702437	Zm00001ca000308
GRMZM2G059582	Zm00001ca000309
GRMZM2G361968	Zm00001ca000310
GRMZM2G044736	Zm00001ca000311
GRMZM2G125001	Zm00001ca000312
GRMZM2G424625	Zm00001ca000313
GRMZM2G424628	Zm00001ca000314
GRMZM2G443565	Zm00001ca000315
GRMZM2G156150	Zm00001ca000316
AC196978.5_FG007	Zm00001ca000317
GRMZM2G044372	Zm00001ca000318
GRMZM2G054481	Zm00001ca000319
GRMZM2G356128	Zm00001ca000320
GRMZM2G036685	Zm00001ca000321
AC196978.5_FG002	Zm00001ca000322
GRMZM2G407189	Zm00001ca000323
GRMZM5G835772	Zm00001ca000324
GRMZM5G803318	Zm00001ca000325
GRMZM2G022318	Zm00001ca000326
GRMZM2G003732	Zm00001ca000327
GRMZM2G003750	Zm00001ca000328
GRMZM2G003762	Zm00001ca000329
GRMZM2G004414	Zm00001ca000330
GRMZM2G485603	Zm00001ca000331
GRMZM2G004445	Zm00001ca000332
GRMZM2G004534	Zm00001ca000333
AC188612.3_FG009	Zm00001ca000334
GRMZM2G479967	Zm00001ca000335
GRMZM2G031317	Zm00001ca000336
GRMZM2G031261	Zm00001ca000337
GRMZM2G031033	Zm00001ca000338
GRMZM2G324231	Zm00001ca000339
GRMZM2G314661	Zm00001ca000340
GRMZM2G014282	Zm00001ca000341
GRMZM2G050774	Zm00001ca000342
GRMZM2G050709	Zm00001ca000343
GRMZM2G050730	Zm00001ca000344
GRMZM2G350841	Zm00001ca000345
GRMZM2G159208	Zm00001ca000346
GRMZM2G159179	Zm00001ca000347
GRMZM2G159193	Zm00001ca000348
AC218932.3_FG009	Zm00001ca000349
GRMZM2G159119	Zm00001ca000350
GRMZM2G434170	Zm00001ca000351
AC198781.3_FG002	Zm00001ca000352
GRMZM2G702950	Zm00001ca000353
AC194104.3_FG010	Zm00001ca000354
GRMZM2G016370	Zm00001ca000355
GRMZM5G881649	Zm00001ca000356
AC194104.3_FG007	Zm00001ca000357
GRMZM2G016264	Zm00001ca000358
GRMZM2G044377	Zm00001ca000359
GRMZM2G044394	Zm00001ca000360
GRMZM2G044423	Zm00001ca000361
GRMZM2G338454	Zm00001ca000362
GRMZM2G165695	Zm00001ca000363
GRMZM2G465444	Zm00001ca000364
GRMZM2G066496	Zm00001ca000365
GRMZM2G366264	Zm00001ca000366
GRMZM2G051637	Zm00001ca000367
GRMZM2G164113	Zm00001ca000368
GRMZM2G464328	Zm00001ca000369
GRMZM2G020446	Zm00001ca000370
GRMZM2G113228	Zm00001ca000371
GRMZM6G534641	Zm00001ca000372
GRMZM2G113093	Zm00001ca000373
GRMZM2G113089	Zm00001ca000374
GRMZM2G413275	Zm00001ca000375
GRMZM2G113073	Zm00001ca000376
GRMZM2G104310	Zm00001ca000377
AC198371.3_FG011	Zm00001ca000378
GRMZM2G065804	Zm00001ca000379
GRMZM2G365770	Zm00001ca000380
AC198371.3_FG003	Zm00001ca000381
GRMZM2G131120	Zm00001ca000382
GRMZM5G805685	Zm00001ca000383
AC207755.3_FG005	Zm00001ca000384
GRMZM2G449197	Zm00001ca000385
GRMZM2G148411	Zm00001ca000386
GRMZM2G148404	Zm00001ca000387
AC187891.3_FG006	Zm00001ca000388
GRMZM2G057753	Zm00001ca000389
AC202107.3_FG001	Zm00001ca000390
GRMZM2G180596	Zm00001ca000391
GRMZM2G180618	Zm00001ca000392
GRMZM2G044317	Zm00001ca000393
GRMZM2G052515	Zm00001ca000394
GRMZM2G052499	Zm00001ca000395
GRMZM2G060050	Zm00001ca000396
GRMZM2G107328	Zm00001ca000397
GRMZM2G163998	Zm00001ca000398
GRMZM2G084276	Zm00001ca000399
GRMZM5G839644	Zm00001ca000400
GRMZM2G361621	Zm00001ca000401
GRMZM2G031925	Zm00001ca000402
GRMZM2G031656	Zm00001ca000403
GRMZM2G031624	Zm00001ca000404
GRMZM2G144051	Zm00001ca000405
GRMZM5G858524	Zm00001ca000406
AC191279.2_FG001	Zm00001ca000407
AC191279.2_FG003	Zm00001ca000408
AC187843.3_FG010	Zm00001ca000409
GRMZM2G007680	Zm00001ca000410
AC187843.3_FG001	Zm00001ca000411
GRMZM2G326663	Zm00001ca000412
GRMZM2G024499	Zm00001ca000413
GRMZM2G037831	Zm00001ca000414
AC187843.3_FG006	Zm00001ca000415
GRMZM2G156490	Zm00001ca000416
GRMZM2G156506	Zm00001ca000417
GRMZM2G104795	Zm00001ca000418
AC198398.3_FG003	Zm00001ca000419
GRMZM2G178449	Zm00001ca000420
GRMZM2G010093	Zm00001ca000421
GRMZM2G033680	Zm00001ca000422
GRMZM2G136266	Zm00001ca000423
GRMZM2G465833	Zm00001ca000424
GRMZM2G163550	Zm00001ca000425
GRMZM2G041317	Zm00001ca000426
GRMZM2G343437	Zm00001ca000427
GRMZM2G153409	Zm00001ca000428
GRMZM2G346110	Zm00001ca000429
GRMZM2G167999	Zm00001ca000430
GRMZM2G468799	Zm00001ca000431
GRMZM2G031278	Zm00001ca000432
GRMZM2G001272	Zm00001ca000433
GRMZM2G001466	Zm00001ca000434
GRMZM2G301122	Zm00001ca000435
GRMZM2G301124	Zm00001ca000436
GRMZM5G810047	Zm00001ca000437
GRMZM2G136910	Zm00001ca000438
GRMZM2G438176	Zm00001ca000439
GRMZM2G472449	Zm00001ca000440
GRMZM2G001904	Zm00001ca000441
GRMZM2G544539	Zm00001ca000442
GRMZM2G419806	Zm00001ca000443
GRMZM2G118316	Zm00001ca000444
GRMZM2G118286	Zm00001ca000445
GRMZM2G118214	Zm00001ca000446
GRMZM2G048850	Zm00001ca000447
GRMZM2G324131	Zm00001ca000448
GRMZM2G028432	Zm00001ca000449
GRMZM2G443495	Zm00001ca000450
GRMZM2G142019	Zm00001ca000451
GRMZM5G877489	Zm00001ca000452
GRMZM2G002950	Zm00001ca000453
GRMZM2G388776	Zm00001ca000454
GRMZM5G856076	Zm00001ca000455
GRMZM2G381429	Zm00001ca000456
GRMZM5G851140	Zm00001ca000457
GRMZM2G068710	Zm00001ca000458
GRMZM2G046284	Zm00001ca000459
GRMZM2G347226	Zm00001ca000460
GRMZM2G475170	Zm00001ca000461
GRMZM2G475197	Zm00001ca000462
GRMZM2G093950	Zm00001ca000463
GRMZM2G093895	Zm00001ca000464
AC233898.1_FG004	Zm00001ca000465
AC233898.1_FG003	Zm00001ca000466
GRMZM2G320023	Zm00001ca000467
GRMZM2G132273	Zm00001ca000468
GRMZM2G132286	Zm00001ca000469
GRMZM2G433484	Zm00001ca000470
GRMZM2G026231	Zm00001ca000471
GRMZM2G103740	Zm00001ca000472
GRMZM2G402493	Zm00001ca000473
GRMZM2G103662	Zm00001ca000474
GRMZM2G103546	Zm00001ca000475
GRMZM2G319435	Zm00001ca000476
GRMZM2G014397	Zm00001ca000477
GRMZM2G005848	Zm00001ca000478
GRMZM5G807054	Zm00001ca000479
GRMZM5G803992	Zm00001ca000480
GRMZM2G418432	Zm00001ca000481
GRMZM5G813470	Zm00001ca000482
GRMZM2G076593	Zm00001ca000483
GRMZM2G433162	Zm00001ca000484
GRMZM2G157168	Zm00001ca000485
GRMZM2G392513	Zm00001ca000486
GRMZM2G704242	Zm00001ca000487
GRMZM2G392512	Zm00001ca000488
GRMZM2G413943	Zm00001ca000489
GRMZM2G122053	Zm00001ca000490
GRMZM2G036508	Zm00001ca000491
GRMZM2G036534	Zm00001ca000492
GRMZM2G036764	Zm00001ca000493
GRMZM2G059214	Zm00001ca000494
GRMZM2G002542	Zm00001ca000495
GRMZM2G171040	Zm00001ca000496
GRMZM2G004060	Zm00001ca000497
GRMZM2G004163	Zm00001ca000498
GRMZM2G094375	Zm00001ca000499
GRMZM2G082508	Zm00001ca000500
AC198721.3_FG002	Zm00001ca000501
GRMZM2G102662	Zm00001ca000502
GRMZM2G001194	Zm00001ca000503
GRMZM2G001195	Zm00001ca000504
GRMZM2G118714	Zm00001ca000505
GRMZM2G432050	Zm00001ca000506
GRMZM2G137407	Zm00001ca000507
GRMZM2G063394	Zm00001ca000508
GRMZM5G802395	Zm00001ca000509
GRMZM2G704283	Zm00001ca000510
GRMZM2G704289	Zm00001ca000511
GRMZM2G015869	Zm00001ca000512
GRMZM2G006493	Zm00001ca000513
GRMZM2G006470	Zm00001ca000514
GRMZM2G174560	Zm00001ca000515
GRMZM2G174565	Zm00001ca000516
GRMZM2G303655	Zm00001ca000517
GRMZM2G426486	Zm00001ca000518
GRMZM2G160279	Zm00001ca000519
GRMZM2G035839	Zm00001ca000520
GRMZM2G110381	Zm00001ca000521
GRMZM5G838435	Zm00001ca000522
GRMZM2G125931	Zm00001ca000523
GRMZM2G125985	Zm00001ca000524
GRMZM2G126002	Zm00001ca000525
AC202000.4_FG006	Zm00001ca000526
GRMZM2G011746	Zm00001ca000527
GRMZM2G011355	Zm00001ca000528
GRMZM2G011136	Zm00001ca000529
GRMZM2G006042	Zm00001ca000530
GRMZM2G169418	Zm00001ca000531
GRMZM2G447297	Zm00001ca000532
GRMZM2G106622	Zm00001ca000533
GRMZM2G083347	Zm00001ca000534
GRMZM2G000339	Zm00001ca000535
GRMZM2G000332	Zm00001ca000536
GRMZM2G300995	Zm00001ca000537
AC198773.3_FG003	Zm00001ca000538
GRMZM2G021706	Zm00001ca000539
GRMZM2G418644	Zm00001ca000540
GRMZM2G348992	Zm00001ca000541
GRMZM2G048175	Zm00001ca000542
GRMZM2G173669	Zm00001ca000543
GRMZM2G027522	Zm00001ca000544
GRMZM2G081541	Zm00001ca000545
GRMZM2G140646	Zm00001ca000546
GRMZM2G437435	Zm00001ca000547
GRMZM2G380112	Zm00001ca000548
GRMZM5G862959	Zm00001ca000549
GRMZM2G040389	Zm00001ca000550
GRMZM2G336326	Zm00001ca000551
GRMZM2G088689	Zm00001ca000552
GRMZM2G088974	Zm00001ca000553
AC214517.2_FG002	Zm00001ca000554
GRMZM2G152757	Zm00001ca000555
GRMZM2G399183	Zm00001ca000556
GRMZM2G180693	Zm00001ca000557
GRMZM5G825266	Zm00001ca000558
GRMZM5G831224	Zm00001ca000559
GRMZM5G838054	Zm00001ca000560
GRMZM2G481471	Zm00001ca000561
GRMZM2G181251	Zm00001ca000562
GRMZM2G181258	Zm00001ca000563
GRMZM2G310674	Zm00001ca000564
GRMZM2G009048	Zm00001ca000565
AC210050.3_FG006	Zm00001ca000566
GRMZM2G028307	Zm00001ca000567
GRMZM2G091819	Zm00001ca000568
GRMZM2G091891	Zm00001ca000569
GRMZM2G130127	Zm00001ca000570
GRMZM2G170027	Zm00001ca000571
GRMZM2G402806	Zm00001ca000572
GRMZM2G012879	Zm00001ca000573
GRMZM2G070226	Zm00001ca000574
GRMZM2G704403	Zm00001ca000575
GRMZM2G047889	Zm00001ca000576
GRMZM5G856142	Zm00001ca000577
GRMZM2G302883	Zm00001ca000578
GRMZM2G145578	Zm00001ca000579
GRMZM5G879536	Zm00001ca000580
GRMZM2G009795	Zm00001ca000581
GRMZM2G009448	Zm00001ca000582
GRMZM2G127386	Zm00001ca000583
GRMZM2G137510	Zm00001ca000584
GRMZM2G140737	Zm00001ca000585
GRMZM2G439860	Zm00001ca000586
GRMZM2G046238	Zm00001ca000587
GRMZM2G136563	Zm00001ca000588
AC190630.2_FG001	Zm00001ca000589
GRMZM2G082271	Zm00001ca000590
GRMZM2G704428	Zm00001ca000591
GRMZM2G015238	Zm00001ca000592
AC214139.3_FG008	Zm00001ca000593
GRMZM2G319262	Zm00001ca000594
GRMZM2G081140	Zm00001ca000595
GRMZM2G068382	Zm00001ca000596
GRMZM2G068316	Zm00001ca000597
AC194103.3_FG006	Zm00001ca000598
AC198699.3_FG004	Zm00001ca000599
GRMZM6G007923	Zm00001ca000600
GRMZM2G115579	Zm00001ca000601
GRMZM2G169240	Zm00001ca000602
GRMZM2G169261	Zm00001ca000603
AC199325.3_FG001	Zm00001ca000604
AC199325.3_FG005	Zm00001ca000605
GRMZM2G106177	Zm00001ca000606
GRMZM2G568290	Zm00001ca000607
AC208649.4_FG003	Zm00001ca000608
GRMZM2G181227	Zm00001ca000609
GRMZM2G006287	Zm00001ca000610
GRMZM2G006206	Zm00001ca000611
GRMZM2G005947	Zm00001ca000612
AC199058.2_FG001	Zm00001ca000613
GRMZM2G152143	Zm00001ca000614
GRMZM2G431157	Zm00001ca000615
GRMZM2G040968	Zm00001ca000616
AC198382.3_FG001	Zm00001ca000617
GRMZM2G331368	Zm00001ca000618
GRMZM2G151944	Zm00001ca000619
GRMZM2G454594	Zm00001ca000620
GRMZM2G141948	Zm00001ca000621
GRMZM2G087531	Zm00001ca000622
GRMZM2G084005	Zm00001ca000623
AC198208.3_FG002	Zm00001ca000624
GRMZM2G059010	Zm00001ca000625
GRMZM2G001500	Zm00001ca000626
GRMZM2G348695	Zm00001ca000627
GRMZM2G109582	Zm00001ca000628
GRMZM2G064818	Zm00001ca000629
GRMZM2G700008	Zm00001ca000630
GRMZM2G404377	Zm00001ca000631
GRMZM2G103909	Zm00001ca000632
GRMZM2G015886	Zm00001ca000633
GRMZM2G075283	Zm00001ca000634
GRMZM2G113815	Zm00001ca000635
GRMZM2G335694	Zm00001ca000636
GRMZM2G011141	Zm00001ca000637
GRMZM2G304915	Zm00001ca000638
GRMZM2G139183	Zm00001ca000639
GRMZM2G139085	Zm00001ca000640
GRMZM2G058612	Zm00001ca000641
GRMZM2G033822	Zm00001ca000642
GRMZM2G338672	Zm00001ca000643
GRMZM2G505732	Zm00001ca000644
AC198421.3_FG003	Zm00001ca000645
GRMZM2G036407	Zm00001ca000646
GRMZM2G036427	Zm00001ca000647
GRMZM2G013478	Zm00001ca000648
GRMZM2G097820	Zm00001ca000649
GRMZM5G868647	Zm00001ca000650
GRMZM2G571844	Zm00001ca000651
GRMZM2G149410	Zm00001ca000652
GRMZM2G451231	Zm00001ca000653
GRMZM2G176472	Zm00001ca000654
GRMZM2G536768	Zm00001ca000655
AC211707.4_FG003	Zm00001ca000656
GRMZM2G141848	Zm00001ca000657
GRMZM2G153206	Zm00001ca000658
GRMZM2G300969	Zm00001ca000659
GRMZM2G300965	Zm00001ca000660
GRMZM2G009196	Zm00001ca000661
GRMZM2G311087	Zm00001ca000662
GRMZM2G161212	Zm00001ca000663
GRMZM2G174803	Zm00001ca000664
GRMZM5G807217	Zm00001ca000665
GRMZM2G174830	Zm00001ca000666
GRMZM2G337706	Zm00001ca000667
GRMZM2G337714	Zm00001ca000668
GRMZM2G457898	Zm00001ca000669
GRMZM2G303536	Zm00001ca000670
GRMZM2G056270	Zm00001ca000671
GRMZM2G121625	Zm00001ca000672
GRMZM5G895459	Zm00001ca000673
GRMZM2G054250	Zm00001ca000674
GRMZM2G054393	Zm00001ca000675
GRMZM2G054564	Zm00001ca000676
AC203311.3_FG005	Zm00001ca000677
GRMZM2G037378	Zm00001ca000678
AC202091.4_FG003	Zm00001ca000679
GRMZM2G149534	Zm00001ca000680
GRMZM2G149580	Zm00001ca000681
GRMZM2G014376	Zm00001ca000682
GRMZM2G050394	Zm00001ca000683
GRMZM2G129457	Zm00001ca000684
GRMZM2G585536	Zm00001ca000685
GRMZM2G585540	Zm00001ca000686
GRMZM2G130724	Zm00001ca000687
GRMZM2G162972	Zm00001ca000688
GRMZM5G883764	Zm00001ca000689
GRMZM2G099064	Zm00001ca000690
GRMZM2G458581	Zm00001ca000691
GRMZM2G064371	Zm00001ca000692
GRMZM2G316665	Zm00001ca000693
GRMZM2G316593	Zm00001ca000694
GRMZM2G078508	Zm00001ca000695
GRMZM2G082167	Zm00001ca000696
